lon,lat,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,dt
-79.4163,43.7001,2,554.09,12.07,45.93,38.62,20.74,7.62,16.59,9.37,1613660400
-74.006,40.7143,2,433.92,12.74,43.53,31.11,10.73,9.01,12.39,2.76,1613660400
-43.2075,-22.9028,5,1655.58,1.51,81.57,183.11,89.65,139.52,193.18,17.99,1613660400
-58.3772,-34.6132,3,988.01,9.95,56.89,147.34,41.96,18.69,27.0,5.83,1613660400
-51.7216,64.1835,2,220.3,0.0,0.13,92.98,0.24,0.5,0.64,0.0,1613660400
-0.1257,51.5085,1,226.97,1.9,11.65,70.81,5.66,0.97,1.19,0.78,1613660400
-85.1647,34.257,1,283.72,0.06,4.33,53.64,0.38,6.3,7.33,0.83,1613660400
10.7461,59.9127,1,273.71,0.2,19.54,50.78,17.88,6.2,6.79,1.46,1613660400
31.2497,30.0626,2,216.96,0.09,4.28,92.98,8.35,4.2,20.77,3.96,1613660400
55.3047,25.2582,5,253.68,0.0,5.01,154.5,1.88,80.94,166.39,0.0,1613660400
37.6156,55.7522,3,473.98,15.42,47.98,2.44,24.56,21.17,24.67,2.88,1613660400
129.7331,62.0339,1,250.34,0.02,4.07,21.46,0.62,1.46,1.57,1.79,1613660400
18.4232,-33.9258,1,190.26,0.92,2.53,37.19,1.83,2.55,9.42,0.41,1613660400
36.8167,-1.2833,2,500.68,0.69,5.74,52.93,5.25,10.03,23.63,7.85,1613660400
51.4215,35.6944,3,714.3,18.77,106.93,0.59,45.3,5.31,6.45,1.09,1613660400
77.2311,28.6128,5,3070.83,16.09,91.85,0.14,39.1,417.37,572.85,18.24,1613660400
151.2073,-33.8679,1,181.91,0.03,5.36,25.75,3.28,4.96,10.6,0.29,1613660400
-157.8583,21.3069,1,210.29,0.0,1.82,67.95,0.68,3.95,12.07,0.06,1613660400
139.6917,35.6895,2,337.12,4.41,53.47,4.69,34.33,2.25,4.39,7.35,1613660400
116.3972,39.9075,5,5928.04,321.87,163.14,0.0,411.99,572.16,751.09,164.15,1613660400
